column_1;column_2;column_3;column_4;coordonnees;geom
1060;Saint-Gilles;4.345668;50.8267409;50.8267409, 4.345668;
1080;Molenbeek-Saint-Jean;4.3227779;50.8543551;50.8543551, 4.3227779;
1083;Ganshoren;4.3175103;50.8712396;50.8712396, 4.3175103;
1120;Neder-Over-Heembeek;4.3904888684211;50.89779605;50.89779605, 4.39048886842;
1300;Wavre;4.607744;50.7164189;50.7164189, 4.607744;
1301;Bierges;4.5894025;50.7111796;50.7111796, 4.5894025;
1320;L'ecluse;4.8320079;50.7717493;50.7717493, 4.8320079;
1340;Ottignies;4.5690502;50.666357;50.666357, 4.5690502;
1348;Louvain-La-Neuve;4.6141567317211;50.6741689;50.6741689, 4.61415673172;
1350;Orp-Le-Grand;4.9912852;50.7034875;50.7034875, 4.9912852;
1357;Hélécine;4.9822395;50.7514034;50.7514034, 4.9822395;
1357;Linsmeau;5.0030144;50.7322517;50.7322517, 5.0030144;
1367;Autre-Eglise;4.9249295;50.6631583;50.6631583, 4.9249295;
1390;Grez-Doiceau;4.6962324;50.7386182;50.7386182, 4.6962324;
1420;Braine-L'alleud;4.3548145440335;50.6940942;50.6940942, 4.35481454403;
1440;Wauthier-Braine;4.3133036337455;50.68083185;50.68083185, 4.31330363375;
1450;Saint-Géry;4.6202848419069;50.57660545;50.57660545, 4.62028484191;
1457;Nil-Saint-Vincent-Saint-Martin;4.6743285;50.6407147;50.6407147, 4.6743285;
1457;Walhain;4.6952724;50.6182838;50.6182838, 4.6952724;
1457;Walhain-Saint-Paul;4.6952241;50.6167794;50.6167794, 4.6952241;
1460;Ittre;4.2611675641255;50.6463367;50.6463367, 4.26116756413;
1471;Loupoigne;4.4319644959116;50.5929226;50.5929226, 4.43196449591;
1480;Tubize;4.204696;50.69302;50.69302, 4.204696;
1570;Galmaarden;3.9709983;50.7527192;50.7527192, 3.9709983;
1601;Ruisbroek;4.298610469732;50.7848617;50.7848617, 4.29861046973;
1652;Alsemberg;4.3281703413079;50.7449476;50.7449476, 4.32817034131;
1673;Beert;4.1853449364222;50.7354888;50.7354888, 4.18534493642;
1730;Asse;4.1804375072845;50.913594;50.913594, 4.18043750728;
1730;Kobbegem;4.2496669;50.9091629;50.9091629, 4.2496669;
1731;Zellik;4.2744185;50.8842475;50.8842475, 4.2744185;
1750;Sint-Kwintens-Lennik;4.1456163063499;50.81145495;50.81145495, 4.14561630635;
1755;Kester;4.1212845;50.7631284;50.7631284, 4.1212845;
1755;Oetingen;4.0614624;50.7720719;50.7720719, 4.0614624;
1760;Pamel;4.0820664787057;50.83471975;50.83471975, 4.08206647871;
1760;Strijtem;4.1145703;50.8405541;50.8405541, 4.1145703;
1770;Liedekerke;4.0860754;50.8711313;50.8711313, 4.0860754;
1831;Diegem;4.4365042;50.8945555;50.8945555, 4.4365042;
1860;Meise;4.3287322;50.9341625;50.9341625, 4.3287322;
1880;Nieuwenrode;4.3512293;50.9799835;50.9799835, 4.3512293;
1910;Nederokkerzeel;4.5645096;50.9190127;50.9190127, 4.5645096;
1930;Nossegem;4.5081025949464;50.88499735;50.88499735, 4.50810259495;
1930;Zaventem;4.4745515;50.8804355;50.8804355, 4.4745515;
1933;Sterrebeek;4.5157438438279;50.85395875;50.85395875, 4.51574384383;
1982;Elewijt;4.5075638918541;50.96953845;50.96953845, 4.50756389185;
2000;Antwerpen;4.3997081;51.2211097;51.2211097, 4.3997081;
2050;Antwerpen;4.3997081;51.2211097;51.2211097, 4.3997081;
2180;Ekeren;4.4322870782182;51.2842045;51.2842045, 4.43228707822;
2200;Herentals;4.83464460985;51.1855514;51.1855514, 4.83464460985;
2242;Pulderbos;4.7033852099385;51.2257319;51.2257319, 4.70338520994;
2243;Pulle;4.6975445276147;51.2011609;51.2011609, 4.69754452761;
2275;Gierle;4.8676797;51.26758;51.26758, 4.8676797;
2275;Lille;4.8242404;51.238218;51.238218, 4.8242404;
2322;Minderhout;4.8070790487489;51.43155825;51.43155825, 4.80707904875;
2330;Merksplas;4.8627541;51.3580597;51.3580597, 4.8627541;
2370;Arendonk;5.0864557;51.3202315;51.3202315, 5.0864557;
2380;Ravels;5.0198122919518;51.3808625;51.3808625, 5.01981229195;
2430;Vorst;5.0188161;51.0790117;51.0790117, 5.0188161;
2431;Varendonk;4.9552253;51.0801317;51.0801317, 4.9552253;
2450;Meerhout;5.0772388;51.1317433;51.1317433, 5.0772388;
2470;Retie;5.0843883;51.2675862;51.2675862, 5.0843883;
2491;Olmen;5.1648214462792;51.13368515;51.13368515, 5.16482144628;
2500;Lier;4.5696516;51.131069;51.131069, 4.5696516;
2560;Kessel;4.6393456001407;51.14453105;51.14453105, 4.63934560014;
2560;Nijlen;4.6709517317049;51.1611887;51.1611887, 4.6709517317;
2590;Berlaar;4.6640387634597;51.10303735;51.10303735, 4.66403876346;
2620;Hemiksem;4.3420555;51.1442105;51.1442105, 4.3420555;
2800;Mechelen;4.471321199996;51.02803335;51.02803335, 4.4713212;
2811;Hombeek;4.4211910518318;51.01166405;51.01166405, 4.42119105183;
2820;Bonheiden;4.5378217779072;51.0261294;51.0261294, 4.53782177791;
2820;Rijmenam;4.5842221;51.0010818;51.0010818, 4.5842221;
2830;Blaasveld;4.3723517;51.0565194;51.0565194, 4.3723517;
2830;Heindonk;4.4066584;51.0670264;51.0670264, 4.4066584;
2830;Tisselt;4.3598407;51.033992;51.033992, 4.3598407;
2830;Willebroek;4.3572324644033;51.0626964;51.0626964, 4.3572324644;
2840;Reet;4.4058899586301;51.1044854;51.1044854, 4.40588995863;
2850;Boom;4.3667216;51.0873789;51.0873789, 4.3667216;
2861;Onze-Lieve-Vrouw-Waver;4.5799614;51.0624913;51.0624913, 4.5799614;
2870;Breendonk;4.3136108625549;51.0452687;51.0452687, 4.31361086255;
2920;Kalmthout;4.4763255;51.3832723;51.3832723, 4.4763255;
2940;Hoevenen;4.4046996;51.3066168;51.3066168, 4.4046996;
2970;'s Gravenwezel;4.5556038;51.2624856;51.2624856, 4.5556038;
3010;Kessel Lo;4.7307614946269;50.88991545;50.88991545, 4.73076149463;
